単元名,チェック項目,サブテーマ,リファレンス,チャート例題番号,難易度,応用的,チェック内容,問題文,チェック解答,学んでほしいこと,練習問題,練習問題の解答,AIによる修正後の問題文（数Ⅰ）,,,367,370
数と式,「単項式」、「係数」、「単項式の次数」とは？,多項式の計算の基本,"教科書, p12",,1,,,,"単項式：数や文字の積だけで表された式のこと。例：$3x$, $-2ab$, $5$

係数：単項式において、文字の部分にかかっている数のこと。例：$3x$ の係数は $3$, $-2ab$ の係数は $-2$

単項式の次数：単項式に含まれる文字の個数。例：$3x$ の次数は $1$, $-2ab$ の次数は $2$, $5$ の次数は $0$
","**単項式の構成要素である「係数」と「次数」を正確に理解し、それらを区別できるようになろう。特に、次数は文字の個数に着目すること。**
","練習問題：

1.  次の単項式の係数と次数を答えなさい。
    (1) $4x^2$
    (2) $-7y$
    (3) $\frac{1}{2}ab^3$
    (4) $-x$
    (5) $6$

2.  次のうち、単項式であるものをすべて選びなさい。
    (ア) $2x+3$
    (イ) $-5a^2b$
    (ウ) $7$
    (エ) $\frac{x}{2}$
    (オ) $x^2 + y$
    (カ) $0$

3.  次の問いに答えなさい。
    (1) 係数が $-3$、次数が $2$ の単項式を1つ作りなさい。
    (2) 次数が $3$ の単項式を1つ作りなさい（係数は何でも良い）。
","1.  (1) 係数：$4$, 次数：$2$
    (2) 係数：$-7$, 次数：$1$
    (3) 係数：$\frac{1}{2}$, 次数：$4$ （$a$が1つ、$b$が3つで合計4つ）
    (4) 係数：$-1$, 次数：$1$ （$-x$ は $-1 \times x$ と考えます）
    (5) 係数：$6$, 次数：$0$ （文字がないので次数は0）

2.  (イ), (ウ), (エ), (カ)
    (ア)は足し算を含むので単項式ではない。
    (オ)も足し算を含むので単項式ではない。
    (カ)の$0$は$0 \times x$のように文字を掛けた形とみなせるので単項式。

3.  (1) 例：$-3x^2$, $-3a^2$, $-3xy$ など（文字は何でも良い）
    (2) 例：$x^3$, $2y^3$, $-5a^2b$ など（文字の種類や係数も何でも良い）
",,,,,
数と式,多項式（整式）とは？,多項式の計算の基本,"教科書, p12",,1,,,,"多項式（整式）とは、数や文字の積（かけ算）だけで作られる項（単項式）が、足し算や引き算で結ばれた式のことを指します。

例：
- $3x^2$ （単項式、多項式でもある）
- $2x + 5$ （多項式）
- $x^2 - 4x + 1$ （多項式）
- $7$ (定数項も多項式)

多項式ではない例：
- $\frac{1}{x}$ (分母に文字がある)
- $\sqrt{x}$ (ルートの中に文字がある)

簡単に言うと、文字を含む式で、足し算、引き算、かけ算、定数倍の組み合わせで表現できるものが多項式です。
","**多項式の定義を理解し、具体例から多項式かどうか判断できるようになろう。特に、多項式ではない例（分母に文字がある、ルートの中に文字がある）をしっかり区別できるようにしよう。**
","練習問題：

1.  次の式の中から多項式であるものを選び、記号で答えなさい。
    
    ア.  $5x^3 - 2x^2 + x - 7$
    
    イ.  $\frac{3}{x} + 4$
    
    ウ.  $\sqrt{2}x^2 + 3x - 1$
    
    エ.  $\frac{x+1}{2}$
    
    オ. $\sqrt{x} + 1$
    
    カ. $x^2y+3xy-y^2+5$

2.  次の式は多項式ですか。理由とともに答えなさい。
    
    (1)  $\frac{1}{4}x^4 - \frac{2}{3}x^2 + 5$
    
    (2)  $\frac{5}{x+2}$
    
    (3)  $2\sqrt{3}x - \frac{1}{2}$
    
    (4)  $\frac{x}{3} + \frac{2}{x}$

3. 多項式 $3x^2 - 5x + 2$ について、以下の問いに答えなさい。

   (1) 項をすべて答えなさい。
   
   (2) 定数項を答えなさい。
   
   (3) $x^2$の係数を答えなさい。
   
   (4) $x$の係数を答えなさい。

4. 次の多項式を、次数が高い順に並べ替えなさい。また、それぞれの多項式の次数を答えなさい。
    
    ア.  $-2x + 5x^3 - 1$
    
    イ.  $4 - x^2 + 2x^4$
    
    ウ.  $3x^2 - 7$
    
    エ. $6x$
    
    
    
    
    
","練習問題の解答：

1.  多項式であるもの：
    
    ア.  $5x^3 - 2x^2 + x - 7$
    
    ウ.  $\sqrt{2}x^2 + 3x - 1$
    
    エ.  $\frac{x+1}{2}$（これは $\frac{1}{2}x + \frac{1}{2}$ と変形できるので多項式です。）
    
    カ.  $x^2y+3xy-y^2+5$

    多項式でないもの：
    
    イ. $\frac{3}{x} + 4$ （分母に文字があるため）
    
    オ.  $\sqrt{x} + 1$（ルートの中に文字があるため）
    
    **答え：ア、ウ、エ、カ**
    
    
2.  (1) 多項式です。理由は、文字 x を含む項が、定数倍、べき乗（xの〇乗）、足し算、引き算で結ばれているからです。
    
    (2) 多項式ではありません。理由は、分母に文字を含むためです。
    
    (3) 多項式です。理由は、文字 x を含む項が、定数倍と足し算、引き算で結ばれているからです。
    
    (4) 多項式ではありません。理由は、$\frac{2}{x}$ の項が分母に文字を含むためです。
    
3.  (1) 項：$3x^2$, $-5x$, $2$
    
    (2) 定数項：$2$
    
    (3) $x^2$ の係数：$3$
    
    (4) $x$ の係数：$-5$
    
4.  次数が高い順に並べ替え
    
    イ. $2x^4 - x^2 + 4$ (次数 4)
    
    ア. $5x^3 - 2x - 1$ (次数 3)
    
    ウ. $3x^2 - 7$ (次数 2)
    
    エ. $6x$ (次数 1)
    
    **答え：イ、ア、ウ、エ**
",,,,,
数と式,多項式における同類項とは？,多項式の計算の基本,"教科書, p12",,1,,,,"多項式において、文字の部分が全く同じ項のこと。係数が異なっていても、文字の部分が同じであれば同類項とみなす。例えば、$3x^2y$と$-5x^2y$は同類項だが、$3x^2y$と$3xy^2$は同類項ではない。
","**同類項とは「文字の部分が全く同じ」項のことだと理解しよう。係数が異なっても構わない。** 同類項をまとめる計算は、多項式の計算の基本であり、この理解があいまいだと、この先の様々な計算でミスにつながるため、確実に理解することが重要です。
","練習問題：

1.  次の多項式の中から同類項を選び出し、それぞれグループに分けてください。
    
    $4a$, $-2b$, $5a^2$, $7b$, $-3a$, $6a^2$, $8ab$, $-9b$, $2ab$, $10$

2.  次の式を同類項をまとめて簡単にしてください。
    
    (1) $3x + 5y - 2x + 7y$
    
    (2) $6a^2 - 2a + 4a - 3a^2$
    
    (3) $2x^2y + 5xy^2 - x^2y + 3xy^2$

3.  次の式において、$x$の項の係数と定数項をそれぞれ答えてください。
    
    $5x^2 - 3x + 7 - 2x^2 + 6x - 1$

4. 次の式は同類項をまとめることができるでしょうか？できる場合は計算しなさい。できない場合は「できない」と答えなさい。
    
    (1) $4x^2 + 3x + 2$
    
    (2) $5ab + 2a^2 - 3ba + 4b^2$

    
    (3) $3xy + 5x + 2y$

5.  $A = 2x^2 - 3x + 1$, $B = -x^2 + 5x - 4$ のとき、次の計算をしなさい。
    
    (1) $A + B$
    
    (2) $A - B$
","練習問題の解答：

1.  同類項のグループ分け：
    *   $a$ のグループ： $4a$, $-3a$
    *   $b$ のグループ： $-2b$, $7b$, $-9b$
    *   $a^2$ のグループ：$5a^2$, $6a^2$
    *   $ab$ のグループ：$8ab$, $2ab$
    *   定数項のグループ：$10$

    **ポイント：** 文字の部分が全く同じ項が同類項です。係数は違っても構いません。

2.  同類項をまとめて簡単に：
    (1) $3x + 5y - 2x + 7y = (3x - 2x) + (5y + 7y) = x + 12y$
    (2) $6a^2 - 2a + 4a - 3a^2 = (6a^2 - 3a^2) + (-2a + 4a) = 3a^2 + 2a$
    (3) $2x^2y + 5xy^2 - x^2y + 3xy^2 = (2x^2y - x^2y) + (5xy^2 + 3xy^2) = x^2y + 8xy^2$

   **ポイント：** 同類項をまとめる際は、それぞれの係数を足し算、引き算します。

3.  係数と定数項：
    $5x^2 - 3x + 7 - 2x^2 + 6x - 1 = (5x^2 - 2x^2) + (-3x + 6x) + (7 - 1) = 3x^2 + 3x + 6$
    *   $x$ の項の係数：$3$
    *   定数項：$6$

    **ポイント：** 係数とは、文字の前にかかっている数字のことです。定数項は、文字を含まない項です。

4.  同類項をまとめることができるか：
    (1) $4x^2 + 3x + 2$ :  できない。それぞれの項の文字の部分が違うため。
    (2) $5ab + 2a^2 - 3ba + 4b^2 = 5ab - 3ab + 2a^2 + 4b^2 = 2ab + 2a^2 + 4b^2$
       **ポイント：**$ab$と$ba$は同じ項(同類項)です。
    (3) $3xy + 5x + 2y$ : できない。それぞれの項の文字の部分が違うため。

    **ポイント：** 全ての項で文字の部分が一致していないと、同類項をまとめることはできません。

5.  式の計算：
    (1) $A + B = (2x^2 - 3x + 1) + (-x^2 + 5x - 4) = 2x^2 - 3x + 1 - x^2 + 5x - 4 = (2x^2 - x^2) + (-3x + 5x) + (1 - 4) = x^2 + 2x - 3$
    (2) $A - B = (2x^2 - 3x + 1) - (-x^2 + 5x - 4) = 2x^2 - 3x + 1 + x^2 - 5x + 4 = (2x^2 + x^2) + (-3x - 5x) + (1 + 4) = 3x^2 - 8x + 5$

    **ポイント：** $( )$ の前にマイナスがあるときは、$( )$の中のすべての項の符号を逆にする必要があります。
",,,,,
数と式,多項式の次数とは？,多項式の計算の基本,"教科書, p12",,1,,,,"多項式において、各項の中で最も次数の高い項の次数を、その多項式の次数という。
例えば、$3x^2 + 2x + 1$ の次数は 2 であり、$5x^3 - x + 4$ の次数は 3 である。
定数項（例：5）は次数が 0 である。
